gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;carole.gonzalez@example.com;079 530 55 97;075 657 41 66;CH;Mademoiselle;Carole;Gonzalez;5914;Rue du Bon-Pasteur;Penthéréaz;Zürich;Switzerland;3125;-59.0190;1.5869;+4:00;Abu Dhabi, Muscat, Baku, Tbilisi;26699caf-c787-4204-9734-3773963d9618;goldenduck542;cody;DIDkdrwE;fd4e6d1db59fa5d5ccc753b07f7851b9;31fc10bb4f2d6dc7a657bc180bcbb3891184c716;5b44441188bea7384a1e7823f426de02fad002079686be6887c853ba6f581ab7;1969-09-08T01:02:13.022Z;54;2006-10-23T23:50:23.533Z;17;AVS;756.7823.5403.79;https://randomuser.me/api/portraits/women/54.jpg;https://randomuser.me/api/portraits/med/women/54.jpg;https://randomuser.me/api/portraits/thumb/women/54.jpg;10:33:20
female;alexis.turner@example.com;(699)-363-8550;(812)-626-8917;NZ;Ms;Alexis;Turner;3220;Kahikatea Drive;Hastings;Auckland;New Zealand;27294;16.3526;164.4562;-1:00;Azores, Cape Verde Islands;c1a8c71a-ace3-4596-95be-ca0cf6564035;organicladybug933;loser1;wNjdbKyx;4364c05729efc92ad51b783edc809d7f;3528d543891f363e9589ce0fd820dfa0467aa7ee;419d0e8c442cee803871f2ca10b53a04a2556d9f688f63dc620b136e27b92308;1945-10-06T18:47:34.104Z;78;2018-06-26T17:12:35.775Z;5;;;https://randomuser.me/api/portraits/women/31.jpg;https://randomuser.me/api/portraits/med/women/31.jpg;https://randomuser.me/api/portraits/thumb/women/31.jpg;10:33:20
female;ana.saleem@example.com;70394964;43348772;NO;Mrs;Ana;Saleem;9381;Rundmyrveien;Napp;Troms - Romsa;Norway;7492;24.3658;-123.1651;-11:00;Midway Island, Samoa;00966897-e0c5-4aff-ab5d-980e24b3aef2;whitefish134;chipper;hLmCZu1k;fc479041b810b26c33e64ce86f48edb8;4a1667ee10aaa66bed303d9a3dca29f234d8d4ef;32901d9bb4e62047aedea89c93f1a7793bdfd672d0da039e4b528bc8118ea057;1966-01-30T23:50:53.057Z;58;2003-09-08T17:09:50.927Z;20;FN;30016632844;https://randomuser.me/api/portraits/women/15.jpg;https://randomuser.me/api/portraits/med/women/15.jpg;https://randomuser.me/api/portraits/thumb/women/15.jpg;10:33:20
male;felipe.bravo@example.com;974-058-929;693-226-761;ES;Mr;Felipe;Bravo;3010;Avenida de Salamanca;Toledo;Asturias;Spain;47874;47.4353;93.0184;-2:00;Mid-Atlantic;81b50fb8-d519-437d-9d23-e40612b05f7f;lazyelephant948;helen;7uMGT8Vv;e6426c15e041ae3d2e5b7b7dfce7e91e;4c4f1cb48bdd8d04e49ff98eeba61e04a6959228;3666e8f584ba6e8247f8b4a829b07659ef764c6a035803c43d0ca810feda040f;1966-06-19T00:32:25.227Z;57;2020-04-19T07:20:27.304Z;4;DNI;48924775-E;https://randomuser.me/api/portraits/men/5.jpg;https://randomuser.me/api/portraits/med/men/5.jpg;https://randomuser.me/api/portraits/thumb/men/5.jpg;10:33:20
female;sarah.gill@example.com;X31 V77-7810;O68 Q77-7405;CA;Ms;Sarah;Gill;450;St. Lawrence Ave;St. Antoine;British Columbia;Canada;W4E 7U4;32.0330;-19.2539;-9:00;Alaska;1557ccc3-5d44-4516-82d2-6f598bfc5684;yellowbird516;lara;5v1i6F1y;ff6423339d3ffe0bcaab04c3a7788048;d7a155c6703c02e36d050d78b9a386718b1e8bba;bde0b36680afee3b963213af6e8e603b479fe87178d5cf0888c1915478663eaa;1976-03-09T13:01:12.150Z;48;2006-01-02T23:59:31.089Z;18;SIN;150445120;https://randomuser.me/api/portraits/women/7.jpg;https://randomuser.me/api/portraits/med/women/7.jpg;https://randomuser.me/api/portraits/thumb/women/7.jpg;10:33:20
male;pahal.namnaik@example.com;7735676758;7822145054;IN;Mr;Pahal;Namnaik;530;Kazimar St;Ghaziabad;Maharashtra;India;60254;79.6599;-41.6404;-2:00;Mid-Atlantic;e0c708de-3ff5-433a-ba27-df46cb8228e5;beautifulbird604;maxell;SMOq9SdK;fefd864818dfb3bb9397a85a9f002ea3;1d122177f6d6587d7395a767ae58953f0869b14e;5595d24a2c726863da52c1a2f0b9f9f9c9c115824ec748a0b066365ba4d27fd8;1990-10-31T07:46:14.375Z;33;2015-02-20T00:27:16.636Z;9;UIDAI;912252044147;https://randomuser.me/api/portraits/men/99.jpg;https://randomuser.me/api/portraits/med/men/99.jpg;https://randomuser.me/api/portraits/thumb/men/99.jpg;10:33:20
female;konstanse.holen@example.com;27800930;44232273;NO;Mrs;Konstanse;Holen;8609;Karl Fossums vei;Balestrand;Description;Norway;3264;47.1553;-136.0857;+1:00;Brussels, Copenhagen, Madrid, Paris;0dd1de5d-2e8d-468f-9783-1e62dcbcc108;beautifulladybug548;hhhhhhh;YOohAXYn;e196508dcbb98f156e49d41a0921fb50;149c3b2f28ae7e535aa9de2cf72b99ebe2d41129;e074ff74a72992d390adacf1ddd0f1653d14aa73af6d1d63564657e184b03480;1997-10-06T10:13:23.301Z;26;2017-02-03T03:44:05.507Z;7;FN;06109741807;https://randomuser.me/api/portraits/women/6.jpg;https://randomuser.me/api/portraits/med/women/6.jpg;https://randomuser.me/api/portraits/thumb/women/6.jpg;10:33:20
female;jeske.rebergen@example.com;(057) 7867381;(06) 23215398;NL;Mrs;Jeske;Rebergen;4065;Hul;Klein Genhout;Overijssel;Netherlands;1661 PY;27.1985;130.7940;+8:00;Beijing, Perth, Singapore, Hong Kong;acbc7081-4a4d-425a-9d69-5aa39facaea8;silverswan780;people;L2gSXFzv;5190c7737ecc95aa1f102a63f4873095;2b0d0e0995f27f1d2825dbca42d3ca24b77716fe;28c086b7c47149e5c5928ff4fa01a230ab6dccf01cb643f1d7aba96b4334d769;1981-12-08T13:37:56.541Z;42;2017-08-25T02:01:10.158Z;6;BSN;21879016;https://randomuser.me/api/portraits/women/66.jpg;https://randomuser.me/api/portraits/med/women/66.jpg;https://randomuser.me/api/portraits/thumb/women/66.jpg;10:33:20
male;svyatogor.serebryanskiy@example.com;(096) A80-3484;(067) N29-7859;UA;Mr;Svyatogor;Serebryanskiy;1567;Ivana Mikitenka;Voznesensk;Hersonska;Ukraine;50147;-87.0521;25.1062;+2:00;Kaliningrad, South Africa;be2afc15-3a19-4167-8231-e73cc787a960;silvercat365;muscles;Ua7qshV1;baf7c1e0964fa6a3688d6e32501fece3;231d17b3b656c0d13dab7ffb3bb0ab0c9bb539d6;477c0429b4218039252c2b274a4f0fa264b581fc5fba45325e7445a37fd629aa;1979-04-10T16:52:45.634Z;45;2003-06-27T23:48:44.854Z;20;;;https://randomuser.me/api/portraits/men/66.jpg;https://randomuser.me/api/portraits/med/men/66.jpg;https://randomuser.me/api/portraits/thumb/men/66.jpg;10:33:20
male;karl-wilhelm.lieb@example.com;0760-2865469;0179-4201187;DE;Mr;Karl-Wilhelm;Lieb;8037;Römerstraße;Unterallgäu;Brandenburg;Germany;89239;-15.2420;-64.9545;-12:00;Eniwetok, Kwajalein;98b9a4fb-0991-408d-af1c-59acab8d2e43;crazyswan132;jill;kQPduVwj;86fd3f698520d74472119e6a4af0e4ad;a3970a0b6d3b39efcec614eaa351eeca3a782578;a3075132a27339ebb52e3cbcdb50d2a9e293080420d11f3f8bba565d9a5e6022;1994-10-24T01:10:27.386Z;29;2004-10-14T04:02:41.048Z;19;SVNR;16 231094 L 325;https://randomuser.me/api/portraits/men/27.jpg;https://randomuser.me/api/portraits/med/men/27.jpg;https://randomuser.me/api/portraits/thumb/men/27.jpg;10:33:20
