gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;brenda.freitas@example.com;(64) 4478-5140;(59) 2384-5476;BR;Miss;Brenda;Freitas;8202;Rua Doze ;Franca;Piauí;Brazil;75481;-75.1162;131.9236;+6:00;Almaty, Dhaka, Colombo;172cd55a-b39a-4d5f-ba10-417fea677bd8;beautifulfish183;amsterdam;nJQ1w8SP;e639176efe319c832954cfdd5f5eb9f0;37d8704ccb03d80adb3b062232f9dff0c513498b;2ff754a1b97ea3fade03fe763155a1474d30da6ccfccb6960236f470cdf9d285;1970-11-06T08:16:31.368Z;53;2021-12-14T16:19:22.884Z;2;CPF;452.711.791-90;https://randomuser.me/api/portraits/women/88.jpg;https://randomuser.me/api/portraits/med/women/88.jpg;https://randomuser.me/api/portraits/thumb/women/88.jpg;10:42:33
female;margarethe.wolk@example.com;0689-2028360;0171-9159883;DE;Miss;Margarethe;Wölk;6206;Finkenweg;Bad Berka;Rheinland-Pfalz;Germany;77951;-60.7575;-3.3569;+9:00;Tokyo, Seoul, Osaka, Sapporo, Yakutsk;19f35c78-7ca6-493c-a2bf-1f139af4e940;purplekoala424;rt6ytere;hhlKG3Vd;cddd74b4706021c345c90ebb55e110e7;156e348be4b4788b7b938edb6b0ae7ab5e060632;f9e4c077c72d78f6196b31f7c175280459b5a3bdeace4fbb2042d530066f8de8;1985-01-07T22:32:30.522Z;39;2021-12-05T13:55:42.363Z;2;SVNR;57 070185 W 519;https://randomuser.me/api/portraits/women/42.jpg;https://randomuser.me/api/portraits/med/women/42.jpg;https://randomuser.me/api/portraits/thumb/women/42.jpg;10:42:33
female;lisa.bennett@example.com;(720) 564-5227;(609) 877-2468;US;Miss;Lisa;Bennett;7650;Smokey Ln;Vallejo;North Carolina;United States;23837;26.7172;91.8066;-7:00;Mountain Time (US & Canada);11298ec0-ca75-4bf6-bdf3-03d6911f28ed;crazylion672;brian;toACVP0P;31b0bb9b8436ef8c2ce9c3a243d5f274;d8ddb157617e1d4fb6eade04de2a0bf801af75f0;733aaa1b50ae1740be23670b839d1aec83f5e668b5b3dbff0c100dda71acbc33;1991-12-02T17:33:53.192Z;32;2013-12-10T07:40:03.062Z;10;SSN;548-06-1483;https://randomuser.me/api/portraits/women/65.jpg;https://randomuser.me/api/portraits/med/women/65.jpg;https://randomuser.me/api/portraits/thumb/women/65.jpg;10:42:33
female;adela.camacho@example.com;(697) 373 6056;(653) 754 2820;MX;Mrs;Adela;Camacho;7761;Continuación Franco;Valle de Guadalupe;Queretaro;Mexico;51668;60.5629;-46.3415;0:00;Western Europe Time, London, Lisbon, Casablanca;90ef8900-2cce-4a24-b67c-afa249ad9ab3;orangepeacock340;trooper;n2MiOoJO;e6a6bb09bed30162f7efb7ef9488b918;ed000270eaa4c099e7bc6284565dc8a0c72264b3;61aba5cce2268a961597b6ce26e284637c964095716b00edb77263751e447f5c;1981-04-08T08:58:08.104Z;43;2009-11-24T11:42:58.306Z;14;NSS;08 04 81 0436 4;https://randomuser.me/api/portraits/women/0.jpg;https://randomuser.me/api/portraits/med/women/0.jpg;https://randomuser.me/api/portraits/thumb/women/0.jpg;10:42:33
male;ismail.kowalski@example.com;53630483;92192316;NO;Mr;Ismail;Kowalski;6329;Slåmotgangen;Leinstrand;Sogn og Fjordane;Norway;3055;-80.7862;-37.9208;+3:30;Tehran;96843c80-fcbb-437a-886d-0a16e4a802a7;bigfrog997;kristy;kXyUuDYX;25fc0386b4efb282324c55aa6d031c81;8357dc71d977e242c1e552e2a2890d10815e10c6;43af77d3dcb29fafe1174be0d603b5e4ad239b962382ca8079bfbd957ffb2efe;1946-02-12T17:14:07.744Z;78;2016-01-27T16:19:01.989Z;8;FN;12024645752;https://randomuser.me/api/portraits/men/99.jpg;https://randomuser.me/api/portraits/med/men/99.jpg;https://randomuser.me/api/portraits/thumb/men/99.jpg;10:42:33
female;aubrey.ennis@example.com;R65 S28-3584;Z78 O91-9928;CA;Mrs;Aubrey;Ennis;3050;Peel St;Chesterville;Alberta;Canada;E2P 0G3;49.6994;-19.6786;+3:00;Baghdad, Riyadh, Moscow, St. Petersburg;ea73d92a-39ae-48c4-a60e-b5c5908a85b8;organicrabbit156;mian;3G0y4yjc;c1bec874839cd9c94c5565297c77ed6d;4ce76f392b5aea6b60f571b67eac6d2a845df45b;7263bd972da8c202a66e04b9217c722c806ad234ad3ea87ef7f3a5c54d79b10e;1947-12-26T08:26:41.870Z;76;2013-01-24T21:53:54.142Z;11;SIN;955040563;https://randomuser.me/api/portraits/women/4.jpg;https://randomuser.me/api/portraits/med/women/4.jpg;https://randomuser.me/api/portraits/thumb/women/4.jpg;10:42:33
male;driss.belhaj@example.com;(0847) 506776;(06) 76919183;NL;Mr;Driss;Belhaj;871;Kwartierenweg;Nieuwe Niedorp;Limburg;Netherlands;0714 EO;-10.8596;-83.9947;-1:00;Azores, Cape Verde Islands;d310d16d-1065-4b7c-b679-ac7b82c6b57d;yellowkoala547;warren;WGMjrzlP;2a0c2c1d43c568d10b2afaaa32b29bf5;c8be8131401965e8c6cddbe3b51c71363db608f4;81e1705cb345f3d2118f17603fdab67dd6e16ba819deb92e12052ba1989a0df7;1998-07-18T20:00:30.613Z;25;2012-06-19T02:05:24.852Z;11;BSN;38402568;https://randomuser.me/api/portraits/men/75.jpg;https://randomuser.me/api/portraits/med/men/75.jpg;https://randomuser.me/api/portraits/thumb/men/75.jpg;10:42:33
male;lee.ferguson@example.com;01-0605-9548;0417-278-064;AU;Mr;Lee;Ferguson;859;Walnut Hill Ln;Bendigo;Queensland;Australia;7189;53.1363;7.9000;-1:00;Azores, Cape Verde Islands;14f0af75-9616-4d5b-b2e3-61a152c24684;ticklishswan938;slipper;r17UwBza;7e117af5cdfdb2b4ba51a7f76ec62b9f;ba27f47591f23e97f9e4ba4b4e3317aefacca7ce;a005cfa686e026898d8b68d3d0f1f9c70ce7e611b58e87b03f88add1d8b2378d;1988-03-31T20:46:24.988Z;36;2003-09-17T15:38:45.165Z;20;TFN;398839889;https://randomuser.me/api/portraits/men/55.jpg;https://randomuser.me/api/portraits/med/men/55.jpg;https://randomuser.me/api/portraits/thumb/men/55.jpg;10:42:33
male;xavier.zhang@example.com;(355)-507-0298;(010)-868-5638;NZ;Mr;Xavier;Zhang;6893;Titahi Bay Road;Dunedin;Manawatu-Wanganui;New Zealand;53000;37.2251;-115.9026;+9:00;Tokyo, Seoul, Osaka, Sapporo, Yakutsk;0ed8f6e6-2099-4c00-80aa-9b3e48d7fbd9;smallsnake324;galant;wAywCZPY;bfb20653c7f72e13defea9770542068f;5812bf0b48d4a214c7917842d17ef9b8905c6875;302a6f207de319f4ae03f0be4f48a192e1240fa59ee248118d8f9f959eb54f20;1982-11-07T00:07:09.903Z;41;2021-08-16T02:32:18.949Z;2;;;https://randomuser.me/api/portraits/men/44.jpg;https://randomuser.me/api/portraits/med/men/44.jpg;https://randomuser.me/api/portraits/thumb/men/44.jpg;10:42:33
female;barbara.holt@example.com;015394 54896;07627 488434;GB;Miss;Barbara;Holt;9146;Green Lane;Lisburn;Lincolnshire;United Kingdom;N0 6AL;76.6434;-141.5574;-8:00;Pacific Time (US & Canada);ef3d2def-0a86-4b8d-b2fc-28fcbfa53879;greencat217;knickerless;FiCKB1jw;9021b4e6f5bf8069b2bd7a27825ac420;1e924e5fd03be6e1e8cff1304092cee1727f3c34;4645d89f852eca18f12749c57eb9c212083da6a1b49cb2d6f972135207f7427d;1974-09-27T18:56:28.154Z;49;2018-04-04T03:12:32.070Z;6;NINO;TN 49 75 17 G;https://randomuser.me/api/portraits/women/94.jpg;https://randomuser.me/api/portraits/med/women/94.jpg;https://randomuser.me/api/portraits/thumb/women/94.jpg;10:42:33
