gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail;load_date
female;katie.watts@example.com;071-829-3498;081-662-7072;IE;Miss;Katie;Watts;2323;Denny Street;Balbriggan;Cork;Ireland;68346;-1.9936;115.4971;+1:00;Brussels, Copenhagen, Madrid, Paris;8f273201-abcc-4587-9040-40d42fc4f67f;angryfish116;coolguy;SXXuFBLb;96f6599c71d26cdcb37441a7461d5ce2;d07678ae1a0450b643ea32f5140e8311a00ade01;e5facc3d4944756f4299d32248773e1cc5a06cf0692ab8c99bac3104706b471b;1993-11-06T21:04:56.296Z;30;2007-09-15T20:25:35.155Z;16;PPS;4696733T;https://randomuser.me/api/portraits/women/17.jpg;https://randomuser.me/api/portraits/med/women/17.jpg;https://randomuser.me/api/portraits/thumb/women/17.jpg;09:08:39
male;koray.uluhan@example.com;(794)-679-0456;(377)-474-1860;TR;Mr;Koray;Uluhan;8374;Fatih Sultan Mehmet Cd;Yalova;Sivas;Turkey;10400;60.5892;41.6514;+11:00;Magadan, Solomon Islands, New Caledonia;93b0b37a-fab6-46e3-9dfd-cfb0e4ac047b;browngoose717;laetitia;4pPWatCR;c9cf6a47b17c1f912badaaf976ba8bb7;8c77a0768516adb567caa7f6903572aca8b43359;06f84cc900854cfbd2ba1adde9132263c817fd0fce697d335bee16cd1bf256c0;1981-11-15T00:00:00.606Z;42;2020-02-02T00:12:36.142Z;4;;;https://randomuser.me/api/portraits/men/31.jpg;https://randomuser.me/api/portraits/med/men/31.jpg;https://randomuser.me/api/portraits/thumb/men/31.jpg;09:08:39
male;yagnesh.singh@example.com;8912642662;8392344460;IN;Mr;Yagnesh;Singh;5267;Racecource Rd;Delhi;Andhra Pradesh;India;74356;4.4899;-88.2453;+5:30;Bombay, Calcutta, Madras, New Delhi;6aae4bf6-acf0-479a-8cc7-c72d9094feb8;blackgorilla846;winner;bRBlsAGJ;6dd595bba394b79230dc1f2c203bfe6d;0e5d1d3a2e344df26f8cf174c29726d3b6479fbf;eedc298a3a1cdb8e353294ddf576e1705b615991cb0812e3853749c56c651685;1982-11-24T03:47:06.755Z;41;2014-09-03T00:03:45.392Z;9;UIDAI;651600664461;https://randomuser.me/api/portraits/men/23.jpg;https://randomuser.me/api/portraits/med/men/23.jpg;https://randomuser.me/api/portraits/thumb/men/23.jpg;09:08:39
male;friedrich.menard@example.com;075 095 11 88;078 913 64 04;CH;Monsieur;Friedrich;Menard;1083;Rue Gasparin;Bellinzona;Ticino;Switzerland;3604;26.4286;-89.4829;+6:00;Almaty, Dhaka, Colombo;0b0b7246-89f2-46da-939f-23a63aa366f4;bigostrich864;jayden;x7O3d6oY;a4a74b3bf335d132656dc738f1e1c275;b0814e853815900c8ccf9545392a9cc08e0894f1;987b00dd90fe69142afd157dde1433b36ea7b4cc533a8177dcdc25101a4250f8;1993-08-27T04:34:17.667Z;30;2016-10-18T10:05:46.816Z;7;AVS;756.4771.2611.55;https://randomuser.me/api/portraits/men/59.jpg;https://randomuser.me/api/portraits/med/men/59.jpg;https://randomuser.me/api/portraits/thumb/men/59.jpg;09:08:39
female;kubra.atakol@example.com;(918)-961-0590;(548)-264-8106;TR;Ms;Kübra;Atakol;4480;Fatih Sultan Mehmet Cd;Bitlis;Rize;Turkey;85288;-31.2815;-22.8742;-10:00;Hawaii;67919819-019a-4679-9215-ac1e1cc5fae1;blackfrog675;birthday;9VdvqrTR;860e75ef00bf3498bc46f0b2dc916d1f;58db7cba4f81021b91a13a8f5c608be36b4b1e59;90ab7f6885b6c44299ef1acc0197d9a4ad533c1e3e25047eae0d5e5b4942073c;1993-11-25T15:04:20.950Z;30;2004-06-28T11:51:49.952Z;19;;;https://randomuser.me/api/portraits/women/8.jpg;https://randomuser.me/api/portraits/med/women/8.jpg;https://randomuser.me/api/portraits/thumb/women/8.jpg;09:08:39
female;iris.sovik@example.com;38500266;91922929;NO;Ms;Iris;Søvik;9025;Glimmerveien;Figgjo;Hordaland;Norway;7068;77.8741;-96.3780;+9:00;Tokyo, Seoul, Osaka, Sapporo, Yakutsk;d71addb9-410e-4912-9dbf-25b7067bc24a;sadladybug148;science;2YenTcsD;d91655ed1fa709f74f8ae81b748c9856;df8e94aa4ed6d1f18650577a3f8ba6acc111930e;c50a99e8b7461575cbc78ba8600504bd3f206ff5307c17ea5fec170f0f186345;2001-03-01T00:41:37.567Z;23;2005-07-28T04:33:40.820Z;18;FN;01030178013;https://randomuser.me/api/portraits/women/32.jpg;https://randomuser.me/api/portraits/med/women/32.jpg;https://randomuser.me/api/portraits/thumb/women/32.jpg;09:08:39
female;aurora.ruiz@example.com;977-290-453;637-460-947;ES;Mrs;Aurora;Ruiz;9471;Calle de Argumosa;Orense;Galicia;Spain;43220;-67.4588;-138.3754;+11:00;Magadan, Solomon Islands, New Caledonia;98d881c1-7c2a-4dfc-8544-bb225ad11e2e;crazysnake406;summers;eGqbC8Ry;a21d5811921a643c5bd8d9e83e314761;ffd82084fc2a57a7831515ca05bbcd51e2549e69;d11536e00bea6a5b89e7de5037177eeaa83c3db61952f3a7559915ba440262f9;1965-07-04T10:09:25.477Z;58;2013-06-13T07:44:10.411Z;10;DNI;32669717-L;https://randomuser.me/api/portraits/women/85.jpg;https://randomuser.me/api/portraits/med/women/85.jpg;https://randomuser.me/api/portraits/thumb/women/85.jpg;09:08:39
female;elsa.brunet@example.com;05-20-90-98-19;06-89-10-33-00;FR;Mrs;Elsa;Brunet;6816;Rue D'Abbeville;Argenteuil;Creuse;France;27128;86.9040;68.6441;+3:00;Baghdad, Riyadh, Moscow, St. Petersburg;119f087c-3a7d-420a-8b6d-eee4252dd13b;ticklishkoala878;lion;fhykxpRL;9c7ec41a589ba24838da46a2e90270f5;b6f3027883a80511a322c9c2dbe954458bc3bbc7;4b3b18511b0d06049fbcb90d7ef641cb17a0931b64c77e3cce1619f6e9e2e121;1976-06-08T16:07:06.089Z;47;2008-09-21T06:50:36.510Z;15;INSEE;2760539480731 54;https://randomuser.me/api/portraits/women/88.jpg;https://randomuser.me/api/portraits/med/women/88.jpg;https://randomuser.me/api/portraits/thumb/women/88.jpg;09:08:39
male;brian.engstad@example.com;50934950;46468867;NO;Mr;Brian;Engstad;1111;Ekraveien;Nordagutu;Oslo;Norway;5584;-81.8233;-70.3858;+1:00;Brussels, Copenhagen, Madrid, Paris;7cb70f25-4d90-413b-ae3f-44e3f6c5d1d9;crazyfish989;baltimor;ehABCIhj;52efdc0d930efd0b73a843b0af7c9fa0;0dc4c7c2e9facd07c6a713241e9b431ec04ab0be;09556a92f48985cb4840fb2ea7f78abce414da2361359d7ac042ee78060711fc;1959-11-08T03:17:04.890Z;64;2019-01-29T03:24:15.622Z;5;FN;08115944194;https://randomuser.me/api/portraits/men/56.jpg;https://randomuser.me/api/portraits/med/men/56.jpg;https://randomuser.me/api/portraits/thumb/men/56.jpg;09:08:39
male;hemang.sheikh@example.com;9248175905;9935922999;IN;Mr;Hemang;Sheikh;1263;Sampige Rd;Fatehpur;Tamil Nadu;India;46996;89.2282;160.9882;-3:30;Newfoundland;59a51840-7fb6-4d4d-958e-bc4e06855c79;heavydog355;catalina;hPX4805f;e3d30bdabd9e4216cfb3130198f6b0d3;93aca689985a7150b271fdc0c9fdb9a82040ea7f;53d062f8becc2afe756c93fd18a95971effa58789181e11a2d3b465534a59f18;1986-02-12T23:04:06.554Z;38;2019-11-10T08:06:12.841Z;4;UIDAI;246723988110;https://randomuser.me/api/portraits/men/99.jpg;https://randomuser.me/api/portraits/med/men/99.jpg;https://randomuser.me/api/portraits/thumb/men/99.jpg;09:08:39
